committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2021,M4,202104209444003729,30B,30B-70-04471-12256,1513757,ORG,ORGANIZATION,,,DIALPAD,CA,,,,,CREDIT FOR OVERPAYMENT - ORIGINALLY PAID ON 12-02-20 ON LINE 30B,X,,2021-03-05 00:00:00,-16634.02,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-05-07 04:58:20.927,,30B-70-04471-0000,SB30B,0.00,,,,,,,,,,,,Y,C,U,F3X,4042120211278480334,SAN FRANCISCO,94111,OTHER,,2022,SB,4050720211287114296,https://docquery.fec.gov/cgi-bin/fecimg/?202104209444003729,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2021,M4,202104209444003729,30B,30B-70-04471-0000,1513757,ORG,ORGANIZATION,,,AMERICAN EXPRESS,TX,,,,,CREDIT CARD PAYMENT - SEE MEMO'S,,,2021-03-05 00:00:00,-16614.02,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-05-07 04:58:20.927,,,,0.00,,,,,,,,,,,,Y,C,U,F3X,4042120211278480334,DALLAS,752650448,OTHER,,2022,SB,4050720211287114295,https://docquery.fec.gov/cgi-bin/fecimg/?202104209444003729,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2021,M2,202102209428689021,30B,30B-70-04325-0000,1501512,ORG,ORGANIZATION,,,AMERICAN EXPRESS,TX,,,,,CREDIT CARD PAYMENT - SEE MEMO'S,,,2021-01-13 00:00:00,-5000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-02-23 03:53:48.66,,,,0.00,,,,,,,,,,,,Y,C,U,F3X,4022120211161293080,DALLAS,752650448,OTHER,,2022,SB,4022320211164083120,https://docquery.fec.gov/cgi-bin/fecimg/?202102209428689021,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2021,M2,202102209428689021,30B,30B-70-04325-11755,1501512,ORG,ORGANIZATION,,,MOBILIZEAMERICA,NY,,,,,SOFTWARE SUBSCRIPTION CREDIT - ORIGINALLY PAID 12-2-20 - NO H3 TRANSFER,X,,2021-01-13 00:00:00,-5000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-02-23 03:53:48.66,,30B-70-04325-0000,SB30B,0.00,,,,,,,,,,,,Y,C,U,F3X,4022120211161293080,NEW YORK,11024,OTHER,,2022,SB,4022320211164083121,https://docquery.fec.gov/cgi-bin/fecimg/?202102209428689021,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2022,M9,202210269541697379,30B,30B-70-05964-0000,1650733,ORG,ORGANIZATION,,,UNITED HEALTH CARE,IL,,,,,HEALTHCARE INSURANCE PAYMENT - SEE MEMO'S,,,2022-08-29 00:00:00,-2368.76,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,C,U,F3X,4102620221591747690,PALATINE,600944017,OTHER,,2022,SB,4120120221632535145,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541697379,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2022,M8,202208209528146753,30B,30B-70-05847-0000,1626641,ORG,ORGANIZATION,,,UNITED HEALTH CARE,IL,,,,,HEALTH INSURANCE - SEE MEMO'S,,,2022-07-14 00:00:00,-2103.54,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-27 03:37:53.281,,,,0.00,,,,,,,,,,,,Y,C,U,F3X,4082120221565696043,PALATINE,600944017,OTHER,,2022,SB,4082620221566440942,https://docquery.fec.gov/cgi-bin/fecimg/?202208209528146753,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2021,YE,202201319485784714,30B,30B-70-05190-14850,1565080,IND,INDIVIDUAL,,,"WARD, SARAH",PA,,,,,COBRA INSURANCE REFUND - ORIGINALLY PAID ON 10-12-21 ON LINE 30B,X,,2021-12-01 00:00:00,-1282.48,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-26 08:06:30.37,,30B-70-05190-0000,SB30B,0.00,WARD,SARAH,,,,,,,,,,Y,C,U,F3X,4013120221403741762,PHILADELPHIA,19122,OTHER,,2022,SB,4022520221453458009,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485784714,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2022,M3,202203209494144586,30B,30B-70-05435-15604,1575914,IND,INDIVIDUAL,,,"SUSWELL, SALIMA",PA,,,,,COBRA INSURANCE CREDIT - SALIMA SUSWELL - ORIGINALLY PAID ON 12-15-22 ON LINE 30B,X,,2022-02-18 00:00:00,-912.72,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-03-26 03:51:32.869,,30B-70-05435-0000,SB30B,0.00,SUSWELL,SALIMA,,,,,,,,,,Y,C,U,F3X,4032120221463761032,PHILADELPHIA,19129,OTHER,,2022,SB,4032520221464304536,https://docquery.fec.gov/cgi-bin/fecimg/?202203209494144586,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2022,M3,202203209494144588,30B,30B-70-05435-15603,1575914,IND,INDIVIDUAL,,,"SUSWELL, SALIMA",PA,,,,,COBRA INSURANCE CREDIT - SALIMA SUSWELL - ORIGINALLY PAID ON 01-17-22 ON LINE 30B,X,,2022-02-18 00:00:00,-912.72,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-03-26 03:51:32.869,,30B-70-05435-0000,SB30B,0.00,SUSWELL,SALIMA,,,,,,,,,,Y,C,U,F3X,4032120221463761032,PHILADELPHIA,19129,OTHER,,2022,SB,4032520221464304542,https://docquery.fec.gov/cgi-bin/fecimg/?202203209494144588,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00167130,PENNSYLVANIA DEMOCRATIC PARTY,2022,M3,202203209494144590,30B,30B-70-05435-15595,1575914,IND,INDIVIDUAL,,,"ALTER, JONATHAN",DC,,,,,COBRA INSURANCE CREDIT - JONATHAN ALTER - ORIGINALLY PAID ON 12-01-21 ON LINE 30B,X,,2022-02-18 00:00:00,-693.99,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-03-26 03:51:32.87,,30B-70-05435-0000,SB30B,0.00,ALTER,JONATHAN,,,,,,,,,,Y,C,U,F3X,4032120221463761032,WASHINGTON,20024,OTHER,,2022,SB,4032520221464304549,https://docquery.fec.gov/cgi-bin/fecimg/?202203209494144590,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
